"Gene_name" "chromosome" "start" "end" "biotype" "band"
"ZNF695" "1" 247108849 247171395 "protein_coding" "1:q44"
"ZNF669" "1" 247263264 247267674 "protein_coding" "1:q44"
"C1orf229" "1" 247273462 247275719 "protein_coding" "1:q44"
"ZNF124" "1" 247285277 247335318 "protein_coding" "1:q44"
"ZNF496" "1" 247460714 247495148 "protein_coding" "1:q44"
"NLRP3" "1" 247579458 247612410 "protein_coding" "1:q44"
"OR2B11" "1" 247614255 247615308 "protein_coding" "1:q44"
"GCSAML" "1" 247670360 247740992 "protein_coding" "1:q44"
"OR2C3" "1" 247693434 247697141 "protein_coding" "1:q44"
"OR2G2" "1" 247751662 247752615 "protein_coding" "1:q44"
"OR2G3" "1" 247768856 247769838 "protein_coding" "1:q44"
"OR13G1" "1" 247835320 247836365 "protein_coding" "1:q44"
"OR6F1" "1" 247875045 247876105 "protein_coding" "1:q44"
"OR14A2" "1" 247886401 247887345 "protein_coding" "1:q44"
"OR14K1" "1" 247901917 247902861 "protein_coding" "1:q44"
"OR1C1" "1" 247920676 247921982 "protein_coding" "1:q44"
"OR14A16" "1" 247978102 247979031 "protein_coding" "1:q44"
"OR11L1" "1" 248004199 248005254 "protein_coding" "1:q44"
"TRIM58" "1" 248020501 248041507 "protein_coding" "1:q44"
"OR2W3" "1" 248031277 248060449 "protein_coding" "1:q44"
"OR2T8" "1" 248084320 248085258 "protein_coding" "1:q44"
"OR2AJ1" "1" 248097071 248098057 "protein_coding" "1:q44"
"OR2L13" "1" 248100493 248264224 "protein_coding" "1:q44"
"OR2L8" "1" 248112160 248113098 "protein_coding" "1:q44"
"OR2AK2" "1" 248128535 248129641 "protein_coding" "1:q44"
"OR2L5" "1" 248185250 248186188 "protein_coding" "1:q44"
"OR2L2" "1" 248201474 248202607 "protein_coding" "1:q44"
"OR2L3" "1" 248223984 248224922 "protein_coding" "1:q44"
"OR2M5" "1" 248308450 248309388 "protein_coding" "1:q44"
"OR2M2" "1" 248343288 248344331 "protein_coding" "1:q44"
"OR2M3" "1" 248366332 248367392 "protein_coding" "1:q44"
"OR2M4" "1" 248402231 248403166 "protein_coding" "1:q44"
"OR2T33" "1" 248436073 248437138 "protein_coding" "1:q44"
"OR2T12" "1" 248457918 248458880 "protein_coding" "1:q44"
"OR2M7" "1" 248486894 248487899 "protein_coding" "1:q44"
"OR14C36" "1" 248512077 248513015 "protein_coding" "1:q44"
"OR2T4" "1" 248524883 248525929 "protein_coding" "1:q44"
"OR2T6" "1" 248550910 248551836 "protein_coding" "1:q44"
"OR2T1" "1" 248569296 248570405 "protein_coding" "1:q44"
"OR2T7" "1" 248604508 248605434 "protein_coding" "1:q44"
"OR2T2" "1" 248616077 248617130 "protein_coding" "1:q44"
"OR2T3" "1" 248636627 248637634 "protein_coding" "1:q44"
"OR2T5" "1" 248651885 248652898 "protein_coding" "1:q44"
"OR2G6" "1" 248684916 248685964 "protein_coding" "1:q44"
"OR2T29" "1" 248721784 248722797 "protein_coding" "1:q44"
"OR2T34" "1" 248737022 248738080 "protein_coding" "1:q44"
"OR2T10" "1" 248756052 248757100 "protein_coding" "1:q44"
"OR2T11" "1" 248789420 248790491 "protein_coding" "1:q44"
"OR2T35" "1" 248801588 248802559 "protein_coding" "1:q44"
"OR2T27" "1" 248813232 248814185 "protein_coding" "1:q44"
"OR14I1" "1" 248844628 248845629 "protein_coding" "1:q44"
"LYPD8" "1" 248902716 248903150 "protein_coding" "1:q44"
"SH3BP5L" "1" 249104648 249120832 "protein_coding" "1:q44"
"ZNF672" "1" 249132409 249143716 "protein_coding" "1:q44"
"ZNF692" "1" 249144205 249153343 "protein_coding" "1:q44"
"PGBD2" "1" 249200395 249214145 "protein_coding" "1:q44"
"FAM110C" "2" 38814 46870 "protein_coding" "2:p25.3"
"SH3YL1" "2" 217730 266398 "protein_coding" "2:p25.3"
"ACP1" "2" 264140 278283 "protein_coding" "2:p25.3"
"FAM150B" "2" 279558 288851 "protein_coding" "2:p25.3"
"TMEM18" "2" 667335 677439 "protein_coding" "2:p25.3"
"SNTG2" "2" 946554 1371385 "protein_coding" "2:p25.3"
"TPO" "2" 1377995 1547483 "protein_coding" "2:p25.3"
"PXDN" "2" 1635659 1748624 "protein_coding" "2:p25.3"
"MYT1L" "2" 1792885 2335032 "protein_coding" "2:p25.3"
"TSSC1" "2" 3192696 3381653 "protein_coding" "2:p25.3"
"TRAPPC12" "2" 3383446 3488865 "protein_coding" "2:p25.3"
"ADI1" "2" 3501132 3523507 "protein_coding" "2:p25.3"
"RP13-512J5.1" "2" 3579574 3595547 "protein_coding" "2:p25.3"
"RNASEH1" "2" 3592383 3606206 "protein_coding" "2:p25.3"
"RPS7" "2" 3622795 3628509 "protein_coding" "2:p25.3"
"COLEC11" "2" 3642426 3692048 "protein_coding" "2:p25.3"
"ALLC" "2" 3705785 3750261 "protein_coding" "2:p25.3"
"DCDC2C" "2" 3751453 3836122 "protein_coding" "2:p25.3"
"SOX11" "2" 5832799 5841516 "protein_coding" "2:p25.2"
"FLJ30594" "2" 6111712 6114374 "protein_coding" "2:p25.2"
"CMPK2" "2" 6980701 7006766 "protein_coding" "2:p25.2"
"RSAD2" "2" 7005937 7038370 "protein_coding" "2:p25.2"
"RNF144A" "2" 7057523 7208417 "protein_coding" "2:p25.2"
"ID2" "2" 8818975 8824583 "protein_coding" "2:p25.1"
"KIDINS220" "2" 8865408 8977760 "protein_coding" "2:p25.1"
"MBOAT2" "2" 8992820 9143942 "protein_coding" "2:p25.1"
"ASAP2" "2" 9346894 9545812 "protein_coding" "2:p25.1"
"ITGB1BP1" "2" 9543604 9563676 "protein_coding" "2:p25.1"
"CPSF3" "2" 9563697 9613230 "protein_coding" "2:p25.1"
"IAH1" "2" 9613787 9636672 "protein_coding" "2:p25.1"
"ADAM17" "2" 9628615 9695921 "protein_coding" "2:p25.1"
"YWHAQ" "2" 9724101 9771143 "protein_coding" "2:p25.1"
"TAF1B" "2" 9983483 10074545 "protein_coding" "2:p25.1"
"GRHL1" "2" 10085341 10142411 "protein_coding" "2:p25.1"
"KLF11" "2" 10182976 10194963 "protein_coding" "2:p25.1"
"CYS1" "2" 10196907 10221071 "protein_coding" "2:p25.1"
"AC104794.4" "2" 10223908 10226228 "protein_coding" "2:p25.1"
"RRM2" "2" 10262455 10271545 "protein_coding" "2:p25.1"
"C2orf48" "2" 10281509 10351851 "protein_coding" "2:p25.1"
"HPCAL1" "2" 10443015 10567743 "protein_coding" "2:p25.1"
"ODC1" "2" 10580094 10588630 "protein_coding" "2:p25.1"
"NOL10" "2" 10710892 10830101 "protein_coding" "2:p25.1"
"ATP6V1C2" "2" 10861775 10925236 "protein_coding" "2:p25.1"
"PDIA6" "2" 10923517 10978103 "protein_coding" "2:p25.1"
"AC092687.4" "2" 10987703 10995081 "protein_coding" "2:p25.1"
"KCNF1" "2" 11052063 11054350 "protein_coding" "2:p25.1"
"C2orf50" "2" 11273179 11286916 "protein_coding" "2:p25.1"
"PQLC3" "2" 11295324 11319000 "protein_coding" "2:p25.1"
"ROCK2" "2" 11319887 11488456 "protein_coding" "2:p25.1"
"E2F6" "2" 11584501 11606297 "protein_coding" "2:p25.1"
"AC099344.1" "2" 11603927 11606274 "protein_coding" "2:p25.1"
"GREB1" "2" 11674242 11782914 "protein_coding" "2:p25.1"
"NTSR2" "2" 11798304 11810290 "protein_coding" "2:p25.1"
"LPIN1" "2" 11817721 11967535 "protein_coding" "2:p25.1"
"TRIB2" "2" 12857015 12882860 "protein_coding" "2:p24.3"
"FAM84A" "2" 14772810 14790933 "protein_coding" "2:p24.3"
"AC011897.1" "2" 14775215 14790933 "protein_coding" "2:p24.3"
"NBAS" "2" 15307032 15701454 "protein_coding" "2:p24.3"
"DDX1" "2" 15731302 15771235 "protein_coding" "2:p24.3"
"AC008271.1" "2" 15830906 15884463 "protein_coding" "2:p24.3"
"MYCN" "2" 16080686 16087129 "protein_coding" "2:p24.3"
"FAM49A" "2" 16730727 16847599 "protein_coding" "2:p24.2"
"RAD51AP2" "2" 17691851 17699706 "protein_coding" "2:p24.2"
"VSNL1" "2" 17720393 17838285 "protein_coding" "2:p24.2"
"SMC6" "2" 17845079 17981509 "protein_coding" "2:p24.2"
"GEN1" "2" 17935125 17966632 "protein_coding" "2:p24.2"
"MSGN1" "2" 17997763 17998368 "protein_coding" "2:p24.2"
"KCNS3" "2" 18059114 18542882 "protein_coding" "2:p24.2"
"RDH14" "2" 18735989 18741946 "protein_coding" "2:p24.2"
"NT5C1B-RDH14" "2" 18736811 18770830 "protein_coding" "2:p24.2"
"NT5C1B" "2" 18737050 18770838 "protein_coding" "2:p24.2"
"OSR1" "2" 19551246 19558414 "protein_coding" "2:p24.1"
"TTC32" "2" 20096404 20101747 "protein_coding" "2:p24.1"
"WDR35" "2" 20110021 20189892 "protein_coding" "2:p24.1"
"MATN3" "2" 20191872 20212455 "protein_coding" "2:p24.1"
"LAPTM4A" "2" 20232411 20251789 "protein_coding" "2:p24.1"
"SDC1" "2" 20400558 20425194 "protein_coding" "2:p24.1"
"PUM2" "2" 20448452 20551995 "protein_coding" "2:p24.1"
"RHOB" "2" 20646835 20649200 "protein_coding" "2:p24.1"
"HS1BP3" "2" 20760208 20850849 "protein_coding" "2:p24.1"
"GDF7" "2" 20866424 20873418 "protein_coding" "2:p24.1"
"C2orf43" "2" 20883788 21022882 "protein_coding" "2:p24.1"
"APOB" "2" 21224301 21266945 "protein_coding" "2:p24.1"
"TDRD15" "2" 21346789 21366144 "protein_coding" "2:p24.1"
"KLHL29" "2" 23608088 23931481 "protein_coding" "2:p24.1"
"AC011239.1" "2" 23729913 23747214 "protein_coding" "2:p24.1"
"ATAD2B" "2" 23971534 24149984 "protein_coding" "2:p24.1"
"UBXN2A" "2" 24150155 24227779 "protein_coding" "2:p23.3"
"MFSD2B" "2" 24232951 24286191 "protein_coding" "2:p23.3"
"C2orf44" "2" 24252210 24272445 "protein_coding" "2:p23.3"
"FKBP1B" "2" 24272571 24286551 "protein_coding" "2:p23.3"
"SF3B14" "2" 24290454 24299313 "protein_coding" "2:p23.3"
"FAM228B" "2" 24299396 24392509 "protein_coding" "2:p23.3"
"TP53I3" "2" 24300303 24308731 "protein_coding" "2:p23.3"
"PFN4" "2" 24338241 24346347 "protein_coding" "2:p23.3"
"RP11-507M3.1" "2" 24347236 24413305 "protein_coding" "2:p23.3"
"FAM228A" "2" 24397938 24423718 "protein_coding" "2:p23.3"
"ITSN2" "2" 24425733 24583583 "protein_coding" "2:p23.3"
"NCOA1" "2" 24714783 24993571 "protein_coding" "2:p23.3"
"PTRHD1" "2" 25012603 25016251 "protein_coding" "2:p23.3"
"CENPO" "2" 25016005 25045245 "protein_coding" "2:p23.3"
"ADCY3" "2" 25042038 25142708 "protein_coding" "2:p23.3"
"DNAJC27" "2" 25166505 25194963 "protein_coding" "2:p23.3"
"EFR3B" "2" 25264999 25378243 "protein_coding" "2:p23.3"
"POMC" "2" 25383722 25391772 "protein_coding" "2:p23.3"
"DNMT3A" "2" 25455845 25565459 "protein_coding" "2:p23.3"
"DTNB" "2" 25600067 25896503 "protein_coding" "2:p23.3"
"ASXL2" "2" 25956622 26101385 "protein_coding" "2:p23.3"
"KIF3C" "2" 26149471 26205618 "protein_coding" "2:p23.3"
"AC013449.1" "2" 26251074 26251481 "protein_coding" "2:p23.3"
"RAB10" "2" 26256976 26360323 "protein_coding" "2:p23.3"
"GAREML" "2" 26395960 26412532 "protein_coding" "2:p23.3"
"HADHA" "2" 26413504 26467594 "protein_coding" "2:p23.3"
"HADHB" "2" 26466038 26513336 "protein_coding" "2:p23.3"
"GPR113" "2" 26531041 26569685 "protein_coding" "2:p23.3"
"EPT1" "2" 26531415 26618759 "protein_coding" "2:p23.3"
"DRC1" "2" 26624784 26679579 "protein_coding" "2:p23.3"
"OTOF" "2" 26680071 26781566 "protein_coding" "2:p23.3"
"C2orf70" "2" 26785450 26802400 "protein_coding" "2:p23.3"
"CIB4" "2" 26804070 26864236 "protein_coding" "2:p23.3"
"KCNK3" "2" 26915619 26956288 "protein_coding" "2:p23.3"
"SLC35F6" "2" 26987152 27004099 "protein_coding" "2:p23.3"
"CENPA" "2" 26987157 27023935 "protein_coding" "2:p23.3"
"DPYSL5" "2" 27070615 27173219 "protein_coding" "2:p23.3"
"MAPRE3" "2" 27193480 27250064 "protein_coding" "2:p23.3"
"TMEM214" "2" 27255778 27264563 "protein_coding" "2:p23.3"
"AGBL5" "2" 27265232 27293490 "protein_coding" "2:p23.3"
"OST4" "2" 27293340 27294641 "protein_coding" "2:p23.3"
"EMILIN1" "2" 27301435 27309271 "protein_coding" "2:p23.3"
"KHK" "2" 27309615 27323640 "protein_coding" "2:p23.3"
"CGREF1" "2" 27321757 27341995 "protein_coding" "2:p23.3"
"ABHD1" "2" 27346682 27353680 "protein_coding" "2:p23.3"
"PREB" "2" 27353624 27357543 "protein_coding" "2:p23.3"
"C2orf53" "2" 27359723 27362278 "protein_coding" "2:p23.3"
"TCF23" "2" 27371872 27376378 "protein_coding" "2:p23.3"
"SLC5A6" "2" 27422455 27435826 "protein_coding" "2:p23.3"
"ATRAID" "2" 27434895 27440046 "protein_coding" "2:p23.3"
"CAD" "2" 27440258 27466811 "protein_coding" "2:p23.3"
"SLC30A3" "2" 27476552 27498685 "protein_coding" "2:p23.3"
"DNAJC5G" "2" 27498289 27504367 "protein_coding" "2:p23.3"
"TRIM54" "2" 27505260 27530307 "protein_coding" "2:p23.3"
"UCN" "2" 27530268 27531313 "protein_coding" "2:p23.3"
"MPV17" "2" 27532360 27548547 "protein_coding" "2:p23.3"
"GTF3C2" "2" 27548716 27579868 "protein_coding" "2:p23.3"
"EIF2B4" "2" 27587219 27593353 "protein_coding" "2:p23.3"
"SNX17" "2" 27593389 27599995 "protein_coding" "2:p23.3"
"ZNF513" "2" 27600098 27603657 "protein_coding" "2:p23.3"
"PPM1G" "2" 27604061 27632554 "protein_coding" "2:p23.3"
"NRBP1" "2" 27650657 27665126 "protein_coding" "2:p23.3"
"KRTCAP3" "2" 27665233 27669348 "protein_coding" "2:p23.3"
"IFT172" "2" 27667238 27712656 "protein_coding" "2:p23.3"
"FNDC4" "2" 27714750 27718112 "protein_coding" "2:p23.3"
"GCKR" "2" 27719709 27746554 "protein_coding" "2:p23.3"
"AC109829.1" "2" 27760253 27790011 "protein_coding" "2:p23.3"
"C2orf16" "2" 27799389 27805588 "protein_coding" "2:p23.3"
"ZNF512" "2" 27805897 27858041 "protein_coding" "2:p23.3"
"CCDC121" "2" 27848506 27851879 "protein_coding" "2:p23.3"
"GPN1" "2" 27851114 27874375 "protein_coding" "2:p23.3"
"SUPT7L" "2" 27873679 27886676 "protein_coding" "2:p23.3"
"SLC4A1AP" "2" 27886338 27917840 "protein_coding" "2:p23.3"
"AC074091.13" "2" 27928653 27938599 "protein_coding" "2:p23.2"
"MRPL33" "2" 27994584 28210954 "protein_coding" "2:p23.2"
"AC110084.1" "2" 27998851 28009186 "protein_coding" "2:p23.2"
"RBKS" "2" 28004231 28113965 "protein_coding" "2:p23.2"
"BRE" "2" 28112808 28561768 "protein_coding" "2:p23.2"
"FOSL2" "2" 28615315 28640179 "protein_coding" "2:p23.2"
"PLB1" "2" 28680012 28866654 "protein_coding" "2:p23.2"
"PPP1CB" "2" 28974506 29025806 "protein_coding" "2:p23.2"
"SPDYA" "2" 29005383 29073477 "protein_coding" "2:p23.2"
"TRMT61B" "2" 29072687 29093167 "protein_coding" "2:p23.2"
"WDR43" "2" 29117509 29171088 "protein_coding" "2:p23.2"
"FAM179A" "2" 29179477 29284239 "protein_coding" "2:p23.2"
"C2orf71" "2" 29283842 29297127 "protein_coding" "2:p23.2"
"CLIP4" "2" 29320571 29412509 "protein_coding" "2:p23.2"
"ALK" "2" 29415640 30144432 "protein_coding" "2:p23.2"
"YPEL5" "2" 30369807 30383399 "protein_coding" "2:p23.1"
"LBH" "2" 30454397 30546596 "protein_coding" "2:p23.1"
"LCLAT1" "2" 30670092 30867091 "protein_coding" "2:p23.1"
"CAPN13" "2" 30945637 31043408 "protein_coding" "2:p23.1"
"GALNT14" "2" 31133333 31378068 "protein_coding" "2:p23.1"
"CAPN14" "2" 31395924 31456724 "protein_coding" "2:p23.1"
"EHD3" "2" 31456880 31492313 "protein_coding" "2:p23.1"
"XDH" "2" 31557187 31637581 "protein_coding" "2:p23.1"
"MEMO1" "2" 32090129 32236299 "protein_coding" "2:p23.1"
"DPY30" "2" 32092878 32264881 "protein_coding" "2:p23.1"
"SPAST" "2" 32288680 32382706 "protein_coding" "2:p22.3"
"SLC30A6" "2" 32390933 32449448 "protein_coding" "2:p22.3"
"NLRC4" "2" 32449522 32490923 "protein_coding" "2:p22.3"
"YIPF4" "2" 32502979 32541663 "protein_coding" "2:p22.3"
"BIRC6" "2" 32582096 32843966 "protein_coding" "2:p22.3"
"TTC27" "2" 32853099 33046118 "protein_coding" "2:p22.3"
"LTBP1" "2" 33172039 33624576 "protein_coding" "2:p22.3"
"RASGRP3" "2" 33661391 33789817 "protein_coding" "2:p22.3"
"FAM98A" "2" 33808725 33824449 "protein_coding" "2:p22.3"
"CRIM1" "2" 36583069 36778278 "protein_coding" "2:p22.3"
"AC007401.2" "2" 36758948 36779411 "protein_coding" "2:p22.2"
"FEZ2" "2" 36778570 36873230 "protein_coding" "2:p22.2"
"VIT" "2" 36923833 37041935 "protein_coding" "2:p22.2"
"AC007382.1" "2" 37068327 37068530 "protein_coding" "2:p22.2"
"STRN" "2" 37070783 37193615 "protein_coding" "2:p22.2"
"HEATR5B" "2" 37195526 37311485 "protein_coding" "2:p22.2"
"GPATCH11" "2" 37311594 37326387 "protein_coding" "2:p22.2"
"EIF2AK2" "2" 37326353 37384208 "protein_coding" "2:p22.2"
"SULT6B1" "2" 37394963 37423741 "protein_coding" "2:p22.2"
"AC007390.5" "2" 37423631 37443336 "protein_coding" "2:p22.2"
"CEBPZ" "2" 37428755 37458856 "protein_coding" "2:p22.2"
"NDUFAF7" "2" 37458774 37480546 "protein_coding" "2:p22.2"
"PRKD3" "2" 37477645 37551951 "protein_coding" "2:p22.2"
"QPCT" "2" 37571717 37600465 "protein_coding" "2:p22.2"
"CDC42EP3" "2" 37869032 37965611 "protein_coding" "2:p22.2"
"RMDN2" "2" 38150330 38294285 "protein_coding" "2:p22.2"
"CYP1B1" "2" 38294116 38337044 "protein_coding" "2:p22.2"
"ATL2" "2" 38522022 38604427 "protein_coding" "2:p22.2"
"HNRNPLL" "2" 38789120 38830728 "protein_coding" "2:p22.1"
"GALM" "2" 38893052 38968379 "protein_coding" "2:p22.1"
"SRSF7" "2" 38970741 38978636 "protein_coding" "2:p22.1"
"GEMIN6" "2" 38978676 39012142 "protein_coding" "2:p22.1"
"DHX57" "2" 39024871 39103075 "protein_coding" "2:p22.1"
"MORN2" "2" 39103103 39156213 "protein_coding" "2:p22.1"
"ARHGEF33" "2" 39117021 39202590 "protein_coding" "2:p22.1"
"AC019171.1" "2" 39186764 39187483 "protein_coding" "2:p22.1"
"SOS1" "2" 39208537 39351486 "protein_coding" "2:p22.1"
"CDKL4" "2" 39402787 39456729 "protein_coding" "2:p22.1"
"MAP4K3" "2" 39476407 39664453 "protein_coding" "2:p22.1"
"TMEM178A" "2" 39892122 39945103 "protein_coding" "2:p22.1"
"THUMPD2" "2" 39963200 40006407 "protein_coding" "2:p22.1"
"SLC8A1" "2" 40324410 40838193 "protein_coding" "2:p22.1"
"AC007377.1" "2" 40488147 40490117 "protein_coding" "2:p22.1"
"C2orf91" "2" 42162508 42181406 "protein_coding" "2:p21"
"PKDCC" "2" 42275160 42285668 "protein_coding" "2:p21"
"EML4" "2" 42396490 42559688 "protein_coding" "2:p21"
"COX7A2L" "2" 42560686 42652228 "protein_coding" "2:p21"
"KCNG3" "2" 42669157 42721237 "protein_coding" "2:p21"
"MTA3" "2" 42721709 42984087 "protein_coding" "2:p21"
"OXER1" "2" 42989642 42991401 "protein_coding" "2:p21"
"HAAO" "2" 42994229 43019733 "protein_coding" "2:p21"
"THADA" "2" 43393800 43823185 "protein_coding" "2:p21"
"ZFP36L2" "2" 43449541 43453748 "protein_coding" "2:p21"
"PLEKHH2" "2" 43864412 43995126 "protein_coding" "2:p21"
"DYNC2LI1" "2" 44001178 44037149 "protein_coding" "2:p21"
"ABCG5" "2" 44039611 44066004 "protein_coding" "2:p21"
"ABCG8" "2" 44066103 44105605 "protein_coding" "2:p21"
"LRPPRC" "2" 44113647 44223144 "protein_coding" "2:p21"
"PPM1B" "2" 44395108 44471523 "protein_coding" "2:p21"
"SLC3A1" "2" 44502599 44548633 "protein_coding" "2:p21"
"PREPL" "2" 44543420 44589001 "protein_coding" "2:p21"
"CAMKMT" "2" 44589089 44999731 "protein_coding" "2:p21"
"SIX3" "2" 45168902 45173216 "protein_coding" "2:p21"
"SIX2" "2" 45232300 45236569 "protein_coding" "2:p21"
"SRBD1" "2" 45615819 45839304 "protein_coding" "2:p21"
"PRKCE" "2" 45878484 46415129 "protein_coding" "2:p21"
"EPAS1" "2" 46520806 46613836 "protein_coding" "2:p21"
"TMEM247" "2" 46656329 46711564 "protein_coding" "2:p21"
"ATP6V1E2" "2" 46717889 46769696 "protein_coding" "2:p21"
"RHOQ" "2" 46768945 46810260 "protein_coding" "2:p21"
"PIGF" "2" 46808076 46844258 "protein_coding" "2:p21"
"CRIPT" "2" 46843555 46852881 "protein_coding" "2:p21"
"SOCS5" "2" 46926091 46990268 "protein_coding" "2:p21"
"AC016722.1" "2" 47043807 47049796 "protein_coding" "2:p21"
"AC016722.2" "2" 47043836 47086146 "protein_coding" "2:p21"
"MCFD2" "2" 47129009 47168994 "protein_coding" "2:p21"
"TTC7A" "2" 47143296 47303276 "protein_coding" "2:p21"
"C2orf61" "2" 47272677 47382517 "protein_coding" "2:p21"
"RP11-761B3.1" "2" 47293080 47403650 "protein_coding" "2:p21"
"CALM2" "2" 47387221 47403740 "protein_coding" "2:p21"
"EPCAM" "2" 47572297 47614740 "protein_coding" "2:p21"
"MSH2" "2" 47630108 47789450 "protein_coding" "2:p21"
"KCNK12" "2" 47743720 47798078 "protein_coding" "2:p21"
"AC138655.1" "2" 47799601 47801998 "protein_coding" "2:p21"
"MSH6" "2" 47922669 48037240 "protein_coding" "2:p16.3"
"FBXO11" "2" 48016455 48132932 "protein_coding" "2:p16.3"
"FOXN2" "2" 48541776 48606433 "protein_coding" "2:p16.3"
"PPP1R21" "2" 48667737 48742525 "protein_coding" "2:p16.3"
"STON1" "2" 48756522 48826025 "protein_coding" "2:p16.3"
"STON1-GTF2A1L" "2" 48757064 49003654 "protein_coding" "2:p16.3"
"GTF2A1L" "2" 48844937 48960287 "protein_coding" "2:p16.3"
"LHCGR" "2" 48859428 48982880 "protein_coding" "2:p16.3"
"FSHR" "2" 49189296 49381676 "protein_coding" "2:p16.3"
"NRXN1" "2" 50145643 51259674 "protein_coding" "2:p16.3"
"GPR75-ASB3" "2" 53759810 54087170 "protein_coding" "2:p16.2"
"ASB3" "2" 53897430 54087297 "protein_coding" "2:p16.2"
"CHAC2" "2" 53994929 54002333 "protein_coding" "2:p16.2"
"ERLEC1" "2" 54014181 54045956 "protein_coding" "2:p16.2"
"GPR75" "2" 54080050 54087126 "protein_coding" "2:p16.2"
"PSME4" "2" 54091204 54197977 "protein_coding" "2:p16.2"
"ACYP2" "2" 54197975 54532437 "protein_coding" "2:p16.2"
"TSPYL6" "2" 54480315 54483409 "protein_coding" "2:p16.2"
"C2orf73" "2" 54557171 54610879 "protein_coding" "2:p16.2"
"SPTBN1" "2" 54683422 54896812 "protein_coding" "2:p16.2"
"EML6" "2" 54950636 55199157 "protein_coding" "2:p16.2"
"RTN4" "2" 55199325 55339757 "protein_coding" "2:p16.1"
"CLHC1" "2" 55401927 55459699 "protein_coding" "2:p16.1"
"RPS27A" "2" 55459039 55462989 "protein_coding" "2:p16.1"
"MTIF2" "2" 55463731 55496483 "protein_coding" "2:p16.1"
"CCDC88A" "2" 55514978 55647057 "protein_coding" "2:p16.1"
"CCDC104" "2" 55746740 55773015 "protein_coding" "2:p16.1"
"SMEK2" "2" 55774428 55846015 "protein_coding" "2:p16.1"
"PNPT1" "2" 55861400 55921045 "protein_coding" "2:p16.1"
"EFEMP1" "2" 56093102 56151274 "protein_coding" "2:p16.1"
"CCDC85A" "2" 56411258 56613308 "protein_coding" "2:p16.1"
"VRK2" "2" 58134786 58387055 "protein_coding" "2:p16.1"
"FANCL" "2" 58386378 58468507 "protein_coding" "2:p16.1"
"BCL11A" "2" 60678302 60780702 "protein_coding" "2:p16.1"
"PAPOLG" "2" 60983365 61029220 "protein_coding" "2:p16.1"
"REL" "2" 61108656 61158745 "protein_coding" "2:p16.1"
"PUS10" "2" 61167357 61245394 "protein_coding" "2:p16.1"
"PEX13" "2" 61244360 61279125 "protein_coding" "2:p16.1"
"KIAA1841" "2" 61293006 61391960 "protein_coding" "2:p16.1"
"C2orf74" "2" 61372243 61391964 "protein_coding" "2:p15"
"AHSA2" "2" 61404553 61418338 "protein_coding" "2:p15"
"USP34" "2" 61414598 61697904 "protein_coding" "2:p15"
"XPO1" "2" 61704984 61765761 "protein_coding" "2:p15"
"FAM161A" "2" 62051989 62081278 "protein_coding" "2:p15"
"CCT4" "2" 62095224 62115939 "protein_coding" "2:p15"
"COMMD1" "2" 62115859 62374382 "protein_coding" "2:p15"
"B3GNT2" "2" 62423248 62451866 "protein_coding" "2:p15"
"TMEM17" "2" 62727356 62739029 "protein_coding" "2:p15"
"EHBP1" "2" 62900986 63273622 "protein_coding" "2:p15"
"OTX1" "2" 63277192 63284971 "protein_coding" "2:p15"
"WDPCP" "2" 63348518 64054977 "protein_coding" "2:p15"
"MDH1" "2" 63815743 63834331 "protein_coding" "2:p15"
"UGP2" "2" 64068074 64118696 "protein_coding" "2:p15"
"VPS54" "2" 64119280 64246206 "protein_coding" "2:p14"
"PELI1" "2" 64319786 64371588 "protein_coding" "2:p14"
"LGALSL" "2" 64681103 64688515 "protein_coding" "2:p14"
"AFTPH" "2" 64751465 64820139 "protein_coding" "2:p14"
"SERTAD2" "2" 64858755 64978139 "protein_coding" "2:p14"
"SLC1A4" "2" 65215611 65250999 "protein_coding" "2:p14"
"CEP68" "2" 65283500 65314138 "protein_coding" "2:p14"
"RAB1A" "2" 65297835 65357240 "protein_coding" "2:p14"
"ACTR2" "2" 65454887 65498387 "protein_coding" "2:p14"
"SPRED2" "2" 65537985 65659771 "protein_coding" "2:p14"
"MEIS1" "2" 66660584 66801001 "protein_coding" "2:p14"
"ETAA1" "2" 67624451 67637677 "protein_coding" "2:p14"
"C1D" "2" 68268262 68338080 "protein_coding" "2:p14"
"WDR92" "2" 68350068 68384692 "protein_coding" "2:p14"
"RP11-474G23.1" "2" 68358370 68488362 "protein_coding" "2:p14"
"PNO1" "2" 68384976 68403370 "protein_coding" "2:p14"
"PPP3R1" "2" 68405989 68483369 "protein_coding" "2:p14"
"CNRIP1" "2" 68511303 68547183 "protein_coding" "2:p14"
"PLEK" "2" 68592305 68624585 "protein_coding" "2:p14"
"FBXO48" "2" 68686551 68694390 "protein_coding" "2:p13.3"
"APLF" "2" 68694693 68858004 "protein_coding" "2:p13.3"
"PROKR1" "2" 68870721 68882708 "protein_coding" "2:p13.3"
"ARHGAP25" "2" 68906733 69053965 "protein_coding" "2:p13.3"
"BMP10" "2" 69092613 69098649 "protein_coding" "2:p13.3"
"GKN2" "2" 69172364 69180102 "protein_coding" "2:p13.3"
"GKN1" "2" 69201705 69208106 "protein_coding" "2:p13.3"
"ANTXR1" "2" 69240310 69476459 "protein_coding" "2:p13.3"
"GFPT1" "2" 69546905 69614382 "protein_coding" "2:p13.3"
